Date,Reserves,CPI,Monthly Inflation Rate,Reserves Index,Country
1968-06-01,14062600000,15.91,0.568900126422256,18.247900030377266,USA
1968-07-01,14365800000,16.01,0.6285355122564562,18.6413381776054,USA
1968-08-01,14427000000,16.05,0.2498438475952547,18.72075247381372,USA
1968-09-01,14633900000,16.1,0.31152647975078995,18.98922989024347,USA
1968-10-01,14427500000,16.19,0.5590062111801242,18.721401283423265,USA
1968-11-01,15659700000,16.23,0.24706609017912662,20.32032768518616,USA
1968-12-01,15709900000,16.28,0.30807147258165024,20.385468169984485,USA
1969-01-01,15454000000,16.33,0.30712530712528885,20.053407411819315,USA
1969-02-01,15499400000,16.42,0.5511328842621177,20.112319324366005,USA
1969-03-01,15758400000,16.56,0.8526187576126443,20.448402702110357,USA
1969-04-01,15947600000,16.65,0.5434782608695565,20.693912258362214,USA
1969-05-01,16069900000,16.69,0.2402402402402526,20.852611088856943,USA
1969-06-01,16057100000,16.78,0.5392450569203122,20.836001562852587,USA
1969-07-01,15935800000,16.88,0.5959475566150063,20.67860035157695,USA
1969-08-01,16195100000,16.97,0.5331753554502328,21.01507301508703,USA
1969-09-01,16743200000,17.01,0.23571007660578847,21.726298109070346,USA
1969-10-01,16315800000,17.11,0.5878894767783471,21.17169565483121,USA
1969-11-01,16000300000,17.2,0.5260081823495133,20.762296791208264,USA
1969-12-01,16963599999,17.29,0.5232558139534937,22.012293383660197,USA
1970-01-01,17396530000,17.34,0.28918449971082616,22.574071673478517,USA
1970-02-01,17669630000,17.43,0.519031141868509,22.928451482212044,USA
1970-03-01,17350630000,17.52,0.5163511187607606,22.51451095132228,USA
1970-04-01,16918710000,17.66,0.7990867579908745,21.95404325821286,USA
1970-05-01,16164890000,17.7,0.22650056625141968,20.975871938478317,USA
1970-06-01,16328290000,17.79,0.5084745762711895,21.187902918877647,USA
1970-07-01,16065390000,17.89,0.5621135469364935,20.846758826178846,USA
1970-08-01,15795790000,17.89,0.0,20.496920684712137,USA
1970-09-01,15527690000,17.98,0.5030743432084872,20.149028972074067,USA
1970-10-01,15119890000,18.07,0.5005561735261344,19.6198598545291,USA
1970-11-01,14890290000,18.16,0.49806308799114074,19.321926481825997,USA
1970-12-01,14486890000,18.25,0.49559471365638874,18.79846688884503,USA
1971-01-01,14698990000,18.25,0.0,19.07369192521405,USA
1971-02-01,14533790000,18.3,0.273972602739736,18.859325230220357,USA
1971-03-01,14341590000,18.34,0.21857923497268228,18.60992281631123,USA
1971-04-01,14307130000,18.39,0.27262813522355156,18.565206858021384,USA
1971-05-01,13810510000,18.48,0.4893964110929794,17.920783201436826,USA
1971-06-01,13503910000,18.62,0.7575757575757569,17.522933148863785,USA
1971-07-01,13282510000,18.66,0.21482277121374072,17.23564025375722,USA
1971-08-01,12127810000,18.71,0.2679528403001008,15.737279341473817,USA
1971-09-01,12130210000,18.71,0.0,15.740393627599634,USA
1971-10-01,12145900000,18.76,0.26723677177979965,15.76075327314716,USA
1971-11-01,12130300000,18.76,0.0,15.740510413329353,USA
1971-12-01,12314570000,18.85,0.47974413646054703,15.979622706831096,USA
1972-01-01,13084030000,18.85,0.0,16.97808879115221,USA
1972-02-01,12534820000,18.94,0.4774535809018543,16.265423339835703,USA
1972-03-01,12475160000,18.99,0.263991552270304,16.188007377224782,USA
1972-04-01,12472710000,19.03,0.21063717746183652,16.184828210138015,USA
1972-05-01,13344520000,19.08,0.26274303730948745,17.316105621533005,USA
1972-06-01,13338600000,19.12,0.20964360587003572,17.308423715755993,USA
1972-07-01,13089590000,19.22,0.5230125523012497,16.98530355401035,USA
1972-08-01,13123150000,19.26,0.20811654526535772,17.028851655003017,USA
1972-09-01,13216800000,19.31,0.25960539979230646,17.15037369487081,USA
1972-10-01,13312470000,19.4,0.46607975142414215,17.274516925561166,USA
1972-11-01,13306350000,19.44,0.20618556701033075,17.266575495940334,USA
1972-12-01,13150320000,19.49,0.2572016460905102,17.064107969185695,USA
1973-01-01,13053340000,19.54,0.2565418163160693,16.938264857318334,USA
1973-02-01,13195620000,19.67,0.66530194472878,17.12289011981048,USA
1973-03-01,13201410000,19.86,0.9659379766141285,17.13040333508901,USA
1973-04-01,13172790000,19.99,0.654582074521648,17.093265473038652,USA
1973-05-01,13184890000,20.13,0.7003501750875385,17.10896666558964,USA
1973-06-01,13183160000,20.27,0.695479384003983,17.106721784340618,USA
1973-07-01,13187860000,20.32,0.24666995559941007,17.112820594670342,USA
1973-08-01,13193410000,20.68,1.7716535433070835,17.12002238133629,USA
1973-09-01,13198000000,20.73,0.24177949709864865,17.125978453551916,USA
1973-10-01,14367460000,20.91,0.868306801736618,18.643492225509092,USA
1973-11-01,14372770000,21.05,0.6695361071257899,18.65038258356246,USA
1973-12-01,14377960000,21.19,0.6650831353919306,18.657117227309538,USA
1974-01-01,14565390000,21.37,0.8494572911750708,18.900329997543608,USA
1974-02-01,14643160000,21.65,1.310248011230697,19.001245844212246,USA
1974-03-01,14588260000,21.92,1.247113163972302,18.9300065490842,USA
1974-04-01,14642020000,22.01,0.41058394160584655,18.999766558302486,USA
1974-05-01,14869480000,22.29,1.2721490231712762,19.294923025876734,USA
1974-06-01,14946220000,22.47,0.8075370121130465,19.394502324749713,USA
1974-07-01,14911910000,22.65,0.8010680907877266,19.349981009342727,USA
1974-08-01,15460140000,22.93,1.236203090507737,20.061374793824527,USA
1974-09-01,15893180000,23.21,1.2211077191452313,20.62329582045933,USA
1974-10-01,15889700000,23.43,0.9478672985781866,20.618780105576896,USA
1974-11-01,15839200000,23.62,0.8109261630388387,20.553250335012844,USA
1974-12-01,15883850000,23.8,0.7620660457239525,20.611189033145216,USA
1975-01-01,15948010000,23.89,0.37815126050420034,20.694444282242042,USA
1975-02-01,16132300000,24.08,0.7953118459606445,20.933582528128166,USA
1975-03-01,16255800000,24.17,0.3737541528239241,21.093838501685802,USA
1975-04-01,16182630000,24.26,0.37236243276790315,20.998891703424974,USA
1975-05-01,16279850000,24.4,0.577081615828523,21.125046243904922,USA
1975-06-01,16241470000,24.58,0.7377049180327777,21.07524361827624,USA
1975-07-01,16083560000,24.86,1.1391375101708734,20.870336567389714,USA
1975-08-01,16116680000,24.9,0.16090104585679832,20.91331371592598,USA
1975-09-01,16291690000,25.04,0.5622489959839383,21.140410055458947,USA
1975-10-01,16567689999,25.18,0.5591054313099031,21.498552958630214,USA
1975-11-01,16591939999,25.36,0.7148530579825341,21.53002022469315,USA
1975-12-01,16225900000,25.45,0.35488958990537167,21.055039687035006,USA
1976-01-01,16622460000,25.5,0.19646365422396617,21.5696235645574,USA
1976-02-01,16661490000,25.59,0.3529411764705781,21.620269642678487,USA
1976-03-01,16941160000,25.64,0.19538882375929045,21.983174809681433,USA
1976-04-01,17436870000,25.73,0.35101404056161467,22.626417632776615,USA
1976-05-01,17955330000,25.91,0.6995724834823136,23.2991812931061,USA
1976-06-01,18476500000,26.05,0.5403319181783051,23.97546150151932,USA
1976-07-01,18245400000,26.19,0.5374280230326267,23.675581699987582,USA
1976-08-01,18586280000,26.32,0.49637266132112057,24.117914139391036,USA
1976-09-01,18945880000,26.42,0.37993920972645423,24.58453801057586,USA
1976-10-01,19013030000,26.55,0.49205147615443146,24.67167314113776,USA
1976-11-01,19416170000,26.6,0.18832391713747842,25.19479535312177,USA
1976-12-01,18747000000,26.69,0.33834586466165995,24.326467500283204,USA
1977-01-01,19087410000,26.83,0.5245410266017103,24.768190058653687,USA
1977-02-01,19121970000,27.1,1.0063361908311697,24.81303577886544,USA
1977-03-01,19120650000,27.29,0.7011070110701123,24.81132292149624,USA
1977-04-01,18867700000,27.52,0.8427995602784843,24.48309014002739,USA
1977-05-01,19194330000,27.65,0.4723837209302362,24.906931505558806,USA
1977-06-01,19155730000,27.84,0.6871609403255041,24.856843403701927,USA
1977-07-01,18926990000,27.97,0.4669540229885083,24.560025983527243,USA
1977-08-01,19055550000,28.07,0.3575259206292536,24.726847910333476,USA
1977-09-01,18988470000,28.16,0.32062700391877197,24.639803613116907,USA
1977-10-01,19047450000,28.25,0.3196022727272707,24.716337194658845,USA
1977-11-01,19155040000,28.39,0.49557522123893083,24.855948046440755,USA
1977-12-01,19311500000,28.48,0.31701303275801784,25.0589735494596,USA
1978-01-01,19454830000,28.66,0.6320224719101208,25.244961312131792,USA
1978-02-01,19372980000,28.85,0.6629448709002173,25.13875117904926,USA
1978-03-01,19191320000,29.08,0.7972270363951317,24.903025671709344,USA
1978-04-01,18842720000,29.3,0.7565337001375516,24.450675611934518,USA
1978-05-01,18965240000,29.58,0.9556313993174026,24.609659918657442,USA
1978-06-01,18863950000,29.9,1.0818120351588911,24.4782240679558,USA
1978-07-01,18832090000,30.13,0.7692307692307665,24.436881919635585,USA
1978-08-01,18782590000,30.27,0.46465316959840575,24.372649768290625,USA
1978-09-01,18849930000,30.5,0.7598282127519118,24.460031446504154,USA
1978-10-01,18934680000,30.77,0.8852459016393421,24.570004675322046,USA
1978-11-01,17967470000,30.91,0.45498862528436934,23.314934390425854,USA
1978-12-01,18650300000,31.05,0.45292785506307887,24.200987721797187,USA
1979-01-01,20468770000,31.32,0.8695652173912993,26.560669343136066,USA
1979-02-01,20291450000,31.69,1.1813537675606778,26.330575503206997,USA
1979-03-01,21657920000,32.01,1.0097822656989441,28.10373323751713,USA
1979-04-01,21402960000,32.38,1.1558887847547883,27.7728922414179,USA
1979-05-01,22298920000,32.79,1.2662137121679962,28.93550715695392,USA
1979-06-01,21267650000,33.16,1.1283928026837309,27.597311384882815,USA
1979-07-01,20044300000,33.52,1.0856453558504509,26.009868913208866,USA
1979-08-01,20045580000,33.84,0.9546539379474916,26.0115298658093,USA
1979-09-01,18557300000,34.21,1.0933806146572023,24.0803091344218,USA
1979-10-01,18016010000,34.49,0.8184741303712384,23.37792082732049,USA
1979-11-01,19284810000,34.81,0.9278051609162175,25.024340092502083,USA
1979-12-01,18956030000,35.17,1.034185578856639,24.59770884564962,USA
1980-01-01,20989320000,35.68,1.4500995166334851,27.23614502763345,USA
1980-02-01,20886580000,36.18,1.4013452914798163,27.102827629064123,USA
1980-03-01,21491060000,36.73,1.5201768933112092,27.887212494619746,USA
1980-04-01,21644910000,37.15,1.1434794445956964,28.086851211476766,USA
1980-05-01,21917560000,37.51,0.9690444145356691,28.4406470915617,USA
1980-06-01,21942980000,37.93,1.119701412956542,28.47363257211097,USA
1980-07-01,21844600000,37.93,0.0,28.345972793336884,USA
1980-08-01,22691430000,38.2,0.7118375955707856,29.444835676639,USA
1980-09-01,22994400000,38.52,0.8376963350785305,29.837975371446745,USA
1980-10-01,23966390000,38.89,0.9605399792315561,31.09924827621019,USA
1980-11-01,25673030000,39.21,0.8228336333247599,33.31381714027822,USA
1980-12-01,26755970000,39.58,0.9436368273399554,34.719060897399714,USA
1981-01-01,28315810000,39.9,0.8084891359272373,36.74313926010531,USA
1981-02-01,29681790000,40.31,1.0275689223057771,38.515661160998086,USA
1981-03-01,30409450000,40.59,0.6946167204167741,39.45988676196123,USA
1981-04-01,29692780000,40.86,0.6651884700665134,38.52992199621588,USA
1981-05-01,29395220000,41.18,0.7831620166421915,38.14380242138341,USA
1981-06-01,29582150000,41.55,0.8984944147644391,38.386366382007935,USA
1981-07-01,28866920000,42.01,1.107099879663065,37.45827018793808,USA
1981-08-01,29265140000,42.33,0.7617233991906724,37.97500811336417,USA
1981-09-01,29715200000,42.74,0.9685802031656143,38.559014619107884,USA
1981-10-01,30247870000,42.83,0.21057557323349574,39.25021744854064,USA
1981-11-01,31001380000,42.97,0.3268736866682165,40.227986506317265,USA
